#==============================================================================
# DATASET #0
#==============================================================================
1 0.0707963
2 0.0207963
4 0.00520809
8 0.00130208
16 0.000325521
32 8.13802e-05
64 2.03451e-05
128 5.08626e-06
256 1.27157e-06


#==============================================================================
# DATASET #1
#==============================================================================
1 0.00412966
2 1.20131e-05
4 7.55655e-08
8 1.18249e-09
16 1.84783e-11
32 2.89102e-13
64 3.9968e-15
128 8.88178e-16
256 1.33227e-15


