#==============================================================================
# DATASET #0
#==============================================================================
0 0
0.1 -2.44929e-16
0.2 -2.44929e-16
0.3 -2.44929e-16
0.4 -2.44929e-16
0.5 -2.44929e-16
0.6 -2.44929e-16
0.7 -2.44929e-16
0.8 -2.44929e-16
0.9 -2.44929e-16
1 0


#==============================================================================
# DATASET #1
#==============================================================================
0 0
0.1 -0.0719839
0.2 -0.0835366
0.3 -0.0997516
0.4 -0.106005
0.5 -0.108172
0.6 -0.106704
0.7 -0.100213
0.8 -0.0836929
0.9 -0.061353
1 0


#==============================================================================
# DATASET #2
#==============================================================================
0 0
0.1 -0.103951
0.2 -0.129044
0.3 -0.155513
0.4 -0.166106
0.5 -0.170013
0.6 -0.167579
0.7 -0.156571
0.8 -0.128523
0.9 -0.0880613
1 0


#==============================================================================
# DATASET #3
#==============================================================================
0 0
0.1 -0.114842
0.2 -0.145764
0.3 -0.176899
0.4 -0.189743
0.5 -0.194667
0.6 -0.191788
0.7 -0.178551
0.8 -0.145214
0.9 -0.0973824
1 0


#==============================================================================
# DATASET #4
#==============================================================================
0 0
0.1 -0.12225
0.2 -0.157794
0.3 -0.191894
0.4 -0.206154
0.5 -0.211669
0.6 -0.208502
0.7 -0.193837
0.8 -0.15706
0.9 -0.103532
1 0


#==============================================================================
# DATASET #5
#==============================================================================
0 0
0.1 -0.125284
0.2 -0.162808
0.3 -0.198187
0.4 -0.213091
0.5 -0.218852
0.6 -0.215522
0.7 -0.200186
0.8 -0.161937
0.9 -0.106015
1 0


#==============================================================================
# DATASET #6
#==============================================================================
0 0
0.1 -0.125045
0.2 -0.162452
0.3 -0.197812
0.4 -0.21273
0.5 -0.218449
0.6 -0.215037
0.7 -0.199622
0.8 -0.161418
0.9 -0.105731
1 0


#==============================================================================
# DATASET #7
#==============================================================================
0 0
0.1 -0.120478
0.2 -0.154931
0.3 -0.18842
0.4 -0.202443
0.5 -0.20774
0.6 -0.204438
0.7 -0.189861
0.8 -0.153849
0.9 -0.101849
1 0


#==============================================================================
# DATASET #8
#==============================================================================
0 0
0.1 -0.112558
0.2 -0.141857
0.3 -0.171384
0.4 -0.18342
0.5 -0.187792
0.6 -0.184871
0.7 -0.172243
0.8 -0.140778
0.9 -0.0950324
1 0


#==============================================================================
# DATASET #9
#==============================================================================
0 0
0.1 -0.0903119
0.2 -0.10534
0.3 -0.126079
0.4 -0.134229
0.5 -0.137016
0.6 -0.135005
0.7 -0.126482
0.8 -0.10532
0.9 -0.0768702
1 0


#==============================================================================
# DATASET #10
#==============================================================================
0 0
0.1 -2.44929e-16
0.2 -2.44929e-16
0.3 -2.44929e-16
0.4 -2.44929e-16
0.5 -2.44929e-16
0.6 -2.44929e-16
0.7 -2.44929e-16
0.8 -2.44929e-16
0.9 -2.44929e-16
1 0


